Monthly_Uncertainity,Monthly_Temperature,Date
0.411,8.302999999999999,1878-12-01
0.51,8.282,1879-01-01
0.508,8.003,1879-02-01
0.475,8.236,1879-03-01
0.354,7.9940000000000015,1879-04-01
0.378,8.107999999999999,1879-05-01
0.294,8.427,1879-06-01
0.337,8.511000000000001,1879-07-01
0.385,8.027999999999999,1879-08-01
0.324,7.931,1879-09-01
0.375,8.596,1879-10-01
0.388,8.048,1879-11-01
0.458,7.504,1879-12-01
0.547,7.761,1880-01-01
0.4970000000000001,7.352,1880-02-01
0.374,7.7730000000000015,1880-03-01
0.391,7.767,1880-04-01
0.412,8.342,1880-05-01
0.368,8.363999999999999,1880-06-01
0.439,8.412,1880-07-01
0.5,8.486,1880-08-01
0.469,7.903,1880-09-01
0.373,8.055,1880-10-01
0.4920000000000001,8.342,1880-11-01
0.584,8.129,1880-12-01
0.461,8.443999999999999,1881-01-01
0.441,7.974,1881-02-01
0.43,8.271,1881-03-01
0.403,8.601,1881-04-01
0.359,8.495000000000001,1881-05-01
0.28800000000000003,7.882999999999999,1881-06-01
0.368,8.413,1881-07-01
0.473,8.459,1881-08-01
0.419,8.235000000000001,1881-09-01
0.306,8.24,1881-10-01
0.37,7.82,1881-11-01
0.547,8.227,1881-12-01
0.435,9.057,1882-01-01
0.446,8.613999999999999,1882-02-01
0.32,8.292,1882-03-01
0.334,7.957999999999999,1882-04-01
0.378,8.174,1882-05-01
0.28800000000000003,7.927,1882-06-01
0.366,7.967,1882-07-01
0.378,8.395,1882-08-01
0.322,8.288,1882-09-01
0.342,7.86,1882-10-01
0.41,7.57,1882-11-01
0.394,7.117000000000001,1882-12-01
0.478,7.577999999999999,1883-01-01
0.481,7.332000000000002,1883-02-01
0.33,8.279,1883-03-01
0.469,7.992000000000001,1883-04-01
0.35700000000000004,8.103,1883-05-01
0.322,8.477,1883-06-01
0.336,8.26,1883-07-01
0.434,7.992000000000001,1883-08-01
0.385,7.877999999999999,1883-09-01
0.332,8.373000000000001,1883-10-01
0.376,7.510000000000002,1883-11-01
0.445,8.266,1883-12-01
0.499,8.216000000000001,1884-01-01
0.44,7.977,1884-02-01
0.389,7.217,1884-03-01
0.4,7.484,1884-04-01
0.375,7.495,1884-05-01
0.335,7.7440000000000015,1884-06-01
0.382,7.886,1884-07-01
0.508,8.024000000000001,1884-08-01
0.393,7.842,1884-09-01
0.293,7.907,1884-10-01
0.377,7.747000000000001,1884-11-01
0.477,8.134,1884-12-01
0.682,7.141,1885-01-01
0.691,7.659000000000002,1885-02-01
0.483,7.989000000000001,1885-03-01
0.6509999999999999,7.742000000000001,1885-04-01
0.391,7.859,1885-05-01
0.42,7.874,1885-06-01
0.465,8.262,1885-07-01
0.4,8.093,1885-08-01
0.382,7.995,1885-09-01
0.31,8.165000000000001,1885-10-01
0.363,7.91,1885-11-01
0.581,8.665000000000001,1885-12-01
0.433,7.516,1886-01-01
0.34,7.19,1886-02-01
0.556,7.474,1886-03-01
0.5,8.173,1886-04-01
0.42,8.037,1886-05-01
0.354,7.94,1886-06-01
0.408,8.484,1886-07-01
0.374,8.076,1886-08-01
0.297,8.145,1886-09-01
0.4,7.9540000000000015,1886-10-01
0.45,7.785,1886-11-01
0.593,8.561,1886-12-01
0.519,6.917999999999999,1887-01-01
0.366,7.5150000000000015,1887-02-01
0.406,7.8610000000000015,1887-03-01
0.359,8.088000000000001,1887-04-01
0.342,8.111,1887-05-01
0.299,7.997999999999999,1887-06-01
0.344,8.306000000000001,1887-07-01
0.37,7.847,1887-08-01
0.39,8.244,1887-09-01
0.245,8.092,1887-10-01
0.377,8.072000000000001,1887-11-01
0.401,7.86,1887-12-01
0.478,7.849,1888-01-01
0.422,7.468999999999999,1888-02-01
0.35200000000000004,7.646000000000001,1888-03-01
0.371,8.084,1888-04-01
0.37,7.955,1888-05-01
0.34,8.047,1888-06-01
0.326,8.503,1888-07-01
0.423,8.280000000000001,1888-08-01
0.428,8.218,1888-09-01
0.312,8.573,1888-10-01
0.407,8.322000000000001,1888-11-01
0.428,8.197000000000001,1888-12-01
0.379,7.851,1889-01-01
0.359,8.886000000000003,1889-02-01
0.313,8.633000000000001,1889-03-01
0.314,8.877,1889-04-01
0.35700000000000004,8.503,1889-05-01
0.262,8.453000000000001,1889-06-01
0.389,8.51,1889-07-01
0.375,8.238,1889-08-01
0.317,8.095,1889-09-01
0.254,8.179,1889-10-01
0.383,7.506,1889-11-01
0.304,8.065000000000001,1889-12-01
0.428,7.832000000000002,1890-01-01
0.33,7.922999999999999,1890-02-01
0.321,7.529,1890-03-01
0.348,8.045,1890-04-01
0.31,7.74,1890-05-01
0.304,8.009,1890-06-01
0.371,8.301,1890-07-01
0.354,8.027999999999999,1890-08-01
0.318,8.076,1890-09-01
0.255,8.554,1890-10-01
0.259,7.574000000000002,1890-11-01
0.36,7.94,1890-12-01
0.329,7.706,1891-01-01
0.345,7.306,1891-02-01
0.321,8.103,1891-03-01
0.281,7.916,1891-04-01
0.319,8.109,1891-05-01
0.26,8.016,1891-06-01
0.37,8.17,1891-07-01
0.362,8.212,1891-08-01
0.292,8.273,1891-09-01
0.279,8.081,1891-10-01
0.3,7.607,1891-11-01
0.35700000000000004,8.6,1891-12-01
0.365,8.040000000000001,1892-01-01
0.363,8.19,1892-02-01
0.324,7.651,1892-03-01
0.363,7.872000000000001,1892-04-01
0.33,7.962999999999999,1892-05-01
0.294,8.434000000000001,1892-06-01
0.336,8.151,1892-07-01
0.359,8.186,1892-08-01
0.306,8.292,1892-09-01
0.22,8.651,1892-10-01
0.378,7.449000000000002,1892-11-01
0.494,7.891,1892-12-01
0.31,6.567,1893-01-01
0.3,7.0840000000000005,1893-02-01
0.306,8.255,1893-03-01
0.265,8.315,1893-04-01
0.321,8.048,1893-05-01
0.371,8.208,1893-06-01
0.33,8.6,1893-07-01
0.383,8.244,1893-08-01
0.292,8.304,1893-09-01
0.28600000000000003,8.508000000000001,1893-10-01
0.254,8.357999999999999,1893-11-01
0.297,8.048,1893-12-01
0.378,7.717,1894-01-01
0.328,8.285,1894-02-01
0.366,8.370000000000001,1894-03-01
0.258,7.961,1894-04-01
0.299,8.257,1894-05-01
0.298,8.041,1894-06-01
0.325,8.321,1894-07-01
0.389,8.249,1894-08-01
0.255,8.129,1894-09-01
0.223,8.508000000000001,1894-10-01
0.238,7.9639999999999995,1894-11-01
0.297,8.124,1894-12-01
0.35700000000000004,7.358,1895-01-01
0.407,7.457999999999999,1895-02-01
0.28600000000000003,7.985,1895-03-01
0.4270000000000001,8.49,1895-04-01
0.332,8.19,1895-05-01
0.314,8.245000000000001,1895-06-01
0.326,8.382,1895-07-01
0.34,8.283,1895-08-01
0.302,8.3,1895-09-01
0.217,8.505,1895-10-01
0.35,8.301,1895-11-01
0.316,8.442,1895-12-01
0.331,8.314,1896-01-01
0.355,8.101,1896-02-01
0.332,7.577000000000001,1896-03-01
0.419,7.6320000000000014,1896-04-01
0.314,8.198,1896-05-01
0.311,8.432,1896-06-01
0.329,8.495000000000001,1896-07-01
0.378,8.38,1896-08-01
0.344,8.370000000000001,1896-09-01
0.247,8.802,1896-10-01
0.284,7.9079999999999995,1896-11-01
0.34600000000000003,8.298,1896-12-01
0.444,7.9879999999999995,1897-01-01
0.287,7.887,1897-02-01
0.342,7.667999999999999,1897-03-01
0.311,8.581,1897-04-01
0.34,8.687000000000001,1897-05-01
0.274,8.457,1897-06-01
0.416,8.52,1897-07-01
0.385,8.392999999999999,1897-08-01
0.36,8.432,1897-09-01
0.29100000000000004,8.607000000000001,1897-10-01
0.301,8.193999999999999,1897-11-01
0.273,8.199,1897-12-01
0.466,8.798,1898-01-01
0.315,7.7810000000000015,1898-02-01
0.275,7.099,1898-03-01
0.379,8.204,1898-04-01
0.309,8.109,1898-05-01
0.264,8.579,1898-06-01
0.312,8.407,1898-07-01
0.362,8.349,1898-08-01
0.265,8.325000000000001,1898-09-01
0.232,8.225,1898-10-01
0.301,8.030000000000001,1898-11-01
0.301,8.43,1898-12-01
0.3,8.582,1899-01-01
0.343,7.778,1899-02-01
0.274,7.922999999999999,1899-03-01
0.316,8.579,1899-04-01
0.355,8.324,1899-05-01
0.272,8.047,1899-06-01
0.336,8.456,1899-07-01
0.353,8.546000000000001,1899-08-01
0.254,8.668000000000001,1899-09-01
0.229,8.779,1899-10-01
0.313,9.141,1899-11-01
0.339,8.021,1899-12-01
0.391,7.5489999999999995,1900-01-01
0.279,8.548,1900-02-01
0.234,8.817,1900-03-01
0.29,8.539,1900-04-01
0.335,8.737,1900-05-01
0.282,8.501000000000001,1900-06-01
0.363,8.464,1900-07-01
0.355,8.59,1900-08-01
0.269,8.507,1900-09-01
0.213,9.051,1900-10-01
0.236,8.309000000000001,1900-11-01
0.326,8.634,1900-12-01
0.287,8.179,1901-01-01
0.289,8.568,1901-02-01
0.234,8.937000000000003,1901-03-01
0.327,8.812000000000003,1901-04-01
0.362,8.464,1901-05-01
0.254,8.571,1901-06-01
0.384,8.615,1901-07-01
0.412,8.578000000000001,1901-08-01
0.31,8.523,1901-09-01
0.28600000000000003,8.413,1901-10-01
0.326,8.475,1901-11-01
0.217,8.361,1901-12-01
0.279,8.669,1902-01-01
0.229,9.002,1902-02-01
0.257,8.185,1902-03-01
0.279,8.283,1902-04-01
0.336,8.222999999999999,1902-05-01
0.303,8.381,1902-06-01
0.334,8.484,1902-07-01
0.392,8.353,1902-08-01
0.28,8.342,1902-09-01
0.226,8.221,1902-10-01
0.239,7.787000000000001,1902-11-01
0.273,7.682,1902-12-01
0.242,8.508000000000001,1903-01-01
0.264,8.933,1903-02-01
0.268,8.295,1903-03-01
0.29600000000000004,8.197000000000001,1903-04-01
0.29,8.115,1903-05-01
0.266,8.029,1903-06-01
0.316,8.25,1903-07-01
0.34600000000000003,8.169,1903-08-01
0.304,8.041,1903-09-01
0.239,8.221,1903-10-01
0.247,8.07,1903-11-01
0.204,7.9,1903-12-01
0.25,7.715,1904-01-01
0.25,7.724,1904-02-01
0.208,7.86,1904-03-01
0.258,7.99,1904-04-01
0.303,8.161,1904-05-01
0.284,8.14,1904-06-01
0.329,8.082,1904-07-01
0.358,8.187999999999999,1904-08-01
0.268,7.9239999999999995,1904-09-01
0.217,8.177999999999999,1904-10-01
0.24,8.728,1904-11-01
0.2,8.308,1904-12-01
0.226,8.321,1905-01-01
0.293,7.3820000000000014,1905-02-01
0.297,8.026,1905-03-01
0.271,8.095,1905-04-01
0.319,8.308,1905-05-01
0.284,8.293000000000001,1905-06-01
0.34600000000000003,8.356,1905-07-01
0.35100000000000003,8.361,1905-08-01
0.269,8.339,1905-09-01
0.25,8.402000000000001,1905-10-01
0.235,8.702,1905-11-01
0.221,8.378,1905-12-01
0.228,8.113,1906-01-01
0.285,7.776,1906-02-01
0.255,8.259,1906-03-01
0.29100000000000004,8.96,1906-04-01
0.304,8.568,1906-05-01
0.284,8.485000000000001,1906-06-01
0.327,8.398,1906-07-01
0.349,8.454,1906-08-01
0.258,8.307,1906-09-01
0.195,8.647,1906-10-01
0.314,8.040000000000001,1906-11-01
0.273,8.717,1906-12-01
0.236,7.831,1907-01-01
0.265,7.535,1907-02-01
0.237,7.926,1907-03-01
0.267,7.9140000000000015,1907-04-01
0.297,7.683,1907-05-01
0.27,7.862,1907-06-01
0.335,8.048,1907-07-01
0.345,8.13,1907-08-01
0.263,8.237,1907-09-01
0.214,8.625,1907-10-01
0.234,7.771000000000001,1907-11-01
0.236,7.974,1907-12-01
0.206,8.315,1908-01-01
0.339,8.247,1908-02-01
0.273,7.513999999999999,1908-03-01
0.281,8.17,1908-04-01
0.315,8.447000000000001,1908-05-01
0.247,8.408999999999999,1908-06-01
0.317,8.456,1908-07-01
0.325,8.148,1908-08-01
0.247,8.519,1908-09-01
0.209,8.267999999999999,1908-10-01
0.21,7.7989999999999995,1908-11-01
0.228,8.058,1908-12-01
0.243,7.441000000000002,1909-01-01
0.249,8.131,1909-02-01
0.218,7.9639999999999995,1909-03-01
0.263,7.926,1909-04-01
0.295,7.951,1909-05-01
0.243,8.124,1909-06-01
0.301,8.338000000000001,1909-07-01
0.32299999999999995,8.533000000000001,1909-08-01
0.25,8.446,1909-09-01
0.199,8.572000000000001,1909-10-01
0.219,8.757,1909-11-01
0.223,8.211,1909-12-01
0.206,8.347999999999999,1910-01-01
0.231,8.217,1910-02-01
0.223,7.98,1910-03-01
0.264,8.426,1910-04-01
0.29600000000000004,8.328000000000001,1910-05-01
0.251,8.285,1910-06-01
0.334,8.541,1910-07-01
0.336,8.479000000000001,1910-08-01
0.289,8.296000000000001,1910-09-01
0.206,8.41,1910-10-01
0.308,7.848000000000001,1910-11-01
0.26,7.6480000000000015,1910-12-01
0.238,7.643000000000002,1911-01-01
0.249,7.865,1911-02-01
0.207,7.712999999999999,1911-03-01
0.248,8.312000000000001,1911-04-01
0.315,8.164,1911-05-01
0.265,8.195,1911-06-01
0.325,8.339,1911-07-01
0.334,8.269,1911-08-01
0.25,8.201,1911-09-01
0.21,8.641,1911-10-01
0.206,8.479000000000001,1911-11-01
0.221,8.373000000000001,1911-12-01
0.233,8.391,1912-01-01
0.318,8.729000000000001,1912-02-01
0.237,7.6960000000000015,1912-03-01
0.251,8.572000000000001,1912-04-01
0.287,8.548,1912-05-01
0.241,8.603,1912-06-01
0.341,8.014000000000001,1912-07-01
0.35200000000000004,7.86,1912-08-01
0.26,7.742000000000001,1912-09-01
0.219,7.723000000000001,1912-10-01
0.21600000000000005,8.041,1912-11-01
0.21600000000000005,8.019,1912-12-01
0.225,8.081,1913-01-01
0.304,7.809,1913-02-01
0.246,7.871,1913-03-01
0.255,8.357000000000001,1913-04-01
0.301,8.059000000000001,1913-05-01
0.247,8.173,1913-06-01
0.35200000000000004,8.455,1913-07-01
0.344,8.505,1913-08-01
0.268,8.33,1913-09-01
0.205,8.465,1913-10-01
0.232,8.555,1913-11-01
0.247,9.092,1913-12-01
0.222,9.372,1914-01-01
0.221,8.624,1914-02-01
0.24,8.316,1914-03-01
0.237,8.439,1914-04-01
0.303,8.609,1914-05-01
0.28300000000000003,8.657,1914-06-01
0.375,8.591000000000001,1914-07-01
0.343,8.478,1914-08-01
0.261,8.467,1914-09-01
0.22,8.824,1914-10-01
0.206,8.349,1914-11-01
0.253,8.602,1914-12-01
0.217,8.339,1915-01-01
0.26,8.717,1915-02-01
0.223,8.519,1915-03-01
0.239,9.06,1915-04-01
0.295,8.809000000000003,1915-05-01
0.259,8.445,1915-06-01
0.32299999999999995,8.652000000000001,1915-07-01
0.359,8.496,1915-08-01
0.247,8.397,1915-09-01
0.187,8.377,1915-10-01
0.217,8.753,1915-11-01
0.217,8.568,1915-12-01
0.263,8.607999999999999,1916-01-01
0.237,8.405000000000001,1916-02-01
0.21600000000000005,8.202,1916-03-01
0.294,8.406,1916-04-01
0.28800000000000003,8.293000000000001,1916-05-01
0.236,8.086,1916-06-01
0.307,8.309000000000001,1916-07-01
0.331,8.334,1916-08-01
0.244,8.25,1916-09-01
0.182,8.427999999999999,1916-10-01
0.204,8.152000000000001,1916-11-01
0.222,7.349,1916-12-01
0.284,8.15,1917-01-01
0.289,7.79,1917-02-01
0.205,7.796,1917-03-01
0.262,8.167,1917-04-01
0.28800000000000003,7.741,1917-05-01
0.232,8.021,1917-06-01
0.316,8.545,1917-07-01
0.337,8.238,1917-08-01
0.264,8.272,1917-09-01
0.211,7.94,1917-10-01
0.201,8.357999999999999,1917-11-01
0.238,7.284000000000002,1917-12-01
0.24,7.9460000000000015,1918-01-01
0.246,7.9079999999999995,1918-02-01
0.221,8.16,1918-03-01
0.251,7.984,1918-04-01
0.29100000000000004,7.83,1918-05-01
0.256,8.067,1918-06-01
0.34600000000000003,8.245000000000001,1918-07-01
0.343,8.15,1918-08-01
0.255,8.418000000000001,1918-09-01
0.18,8.829,1918-10-01
0.189,8.247,1918-11-01
0.194,7.846,1918-12-01
0.268,8.234,1919-01-01
